,content,id,lat,location,lon,time,user,user_id
1,@NWSBoston This is our concern dude. https://t.co/klt69BYay3,971525458226483200,,"Boston, MA",,2018-03-07 23:18:13,danieljlavoie,770112175
10,RT @cyndonnelly: What goddamn century do we live in? https://t.co/qlATjyJaec,971525448617218048,,Other Location in US,,2018-03-07 23:18:11,chaserblue01,1608647108
100,https://t.co/oCLpxy4xQ6,971525350214782976,,"Boston, MA",,2018-03-07 23:17:48,jfxheff,213719799
1002,Lemon by Rihanna and N.E.R.D is on in my Uber and I am struggling to contain myself,971524479988961280,,"Boston, MA",,2018-03-07 23:14:20,sarahricc,69650733
1003,@richardroyster  https://t.co/RxGm4shTbb,971524479586390016,,"Boston, MA",,2018-03-07 23:14:20,nmalexander1,2466952481
1004,"probably going to try and write a dissertation on the vague topic of ""alternative expressions of orthodox identity… https://t.co/DYzfZdmDR6",971524478982291456,,Other Location in MA,,2018-03-07 23:14:20,OtterHouse_5,379892974
1005,@JoeP450 $tsro has been strong lately maybe finally a deal gets done?,971524478802055168,,"Boston, MA",,2018-03-07 23:14:20,Lblegend33,752268049
1006,RT @evankirstel: “Fewer planes are ready to fly: Air Force mission-capable rates decline amid pilot crisis” https://t.co/hhZQZ1pcoT bring @…,971524478630023168,,Other Location in US,,2018-03-07 23:14:20,ebukstel,909547129
1007,Also why the fuck do people wear baseball hats at the gym??? Gross,971524475152986112,,Other Location,,2018-03-07 23:14:19,JessicaCarmenn,85700820
1009,"RT @MITevents: RT @mitsap: Celebrate #WomensHistoryMonth with a community screening of ""Chisholm ‘72: Unbought &amp; Unbossed."" Mar 12, 3:30. R…",971524474326736896,,"Cambridge, MA",,2018-03-07 23:14:19,GCWSatMIT,256227809
101,RT @iRelateWords: having someone who can handle all your moods is such a blessing,971525346989412352,,Other Location,,2018-03-07 23:17:47,naswiftymia,3240729659
1010,@JeffHollandaise  https://t.co/m1C7yhvjgS,971524473345269760,,"Boston, MA",,2018-03-07 23:14:19,IchigoMichael,398471053
